Name of Moon,Name of Planet,Diameter (km)
S/2009 S 1,Saturn,0.15
Aegaeon,Saturn,0.33
S/2011 J 1,Jupiter,0.5
S/2010 J 2,Jupiter,0.5
S/2003 J 12,Jupiter,0.5
S/2011 J 2,Jupiter,0.5
S/2003 J 9,Jupiter,0.5
Valetudo,Jupiter,0.5
S/2017 J 8,Jupiter,0.5
Kore,Jupiter,1.0
Philophrosyne,Jupiter,1.0
S/2003 J 18,Jupiter,1.0
Euporie,Jupiter,1.0
Orthosie,Jupiter,1.0
Sponde,Jupiter,1.0
S/2017 J 3,Jupiter,1.0
Pasithee,Jupiter,1.0
Mneme,Jupiter,1.0
Thelxinoe,Jupiter,1.0
Kallichore,Jupiter,1.0
S/2010 J 1,Jupiter,1.0
Cyllene,Jupiter,1.0
Kale,Jupiter,1.0
Eupheme,Jupiter,1.0
Herse,Jupiter,1.0
S/2017 J 7,Jupiter,1.0
S/2003 J 4,Jupiter,1.0
S/2003 J 2,Jupiter,1.0
Ersa,Jupiter,1.0
S/2017 J 9,Jupiter,1.0
S/2003 J 19,Jupiter,1.0
S/2017 J 6,Jupiter,1.0
S/2003 J 10,Jupiter,1.0
S/2017 J 5,Jupiter,1.0
Pandia,Jupiter,1.0
S/2003 J 23,Jupiter,1.0
Anthe,Saturn,1.0
S/2017 J 2,Jupiter,1.0
S/2003 J 16,Jupiter,1.0
Polydeuces,Saturn,1.25
Eurydome,Jupiter,1.5
Euanthe,Jupiter,1.5
Hegemone,Jupiter,1.5
Carpo,Jupiter,1.5
Arche,Jupiter,1.5
Aitne,Jupiter,1.5
Methone,Saturn,1.6
Erinome,Jupiter,1.6
Chaldene,Jupiter,1.9
Isonoe,Jupiter,1.9
Eirene,Jupiter,2.0
Dia,Jupiter,2.0
S/2017 J 1,Jupiter,2.0
Eukelade,Jupiter,2.0
Helike,Jupiter,2.0
Fenrir,Saturn,2.0
Pallene,Saturn,2.0
Autonoe,Jupiter,2.0
S/2004 S 17,Saturn,2.0
Hermippe,Jupiter,2.0
Aoede,Jupiter,2.0
Thyone,Jupiter,2.0
Harpalyke,Jupiter,2.2
Taygete,Jupiter,2.5
Farbauti,Saturn,2.5
S/2004 S 12,Saturn,2.5
Iocaste,Jupiter,2.6
Kalyke,Jupiter,2.6
Megaclite,Jupiter,2.7
Surtur,Saturn,3.0
S/2004 S 7,Saturn,3.0
S/2004 S 24,Saturn,3.0
Jarnsaxa,Saturn,3.0
S/2004 S 21,Saturn,3.0
S/2004 S 20,Saturn,3.0
S/2007 S 3,Saturn,3.0
S/2004 S 13,Saturn,3.0
S/2007 S 2,Saturn,3.0
S/2006 S 3,Saturn,3.0
S/2004 S 22,Saturn,3.0
S/2004 S 30,Saturn,3.0
S/2004 S 39,Saturn,3.0
Loge,Saturn,3.0
Greip,Saturn,3.0
Hati,Saturn,3.0
Fornjot,Saturn,3.0
S/2016 J 1,Jupiter,3.0
S/2006 S 1,Saturn,3.0
S/2004 S 36,Saturn,3.0
Skoll,Saturn,3.0
S/2004 S 34,Saturn,3.0
Bergelmir,Saturn,3.0
Bebhionn,Saturn,3.0
Aegir,Saturn,3.0
Praxidike,Jupiter,3.4
Bestla,Saturn,3.5
Thrymr,Saturn,3.5
Narvi,Saturn,3.5
Mundilfari,Saturn,3.5
Kari,Saturn,3.5
Suttungr,Saturn,3.5
Tarqeq,Saturn,3.5
Daphnis,Saturn,3.8
Hyrrokkin,Saturn,4.0
S/2004 S 38,Saturn,4.0
S/2004 S 23,Saturn,4.0
S/2004 S 37,Saturn,4.0
S/2004 S 25,Saturn,4.0
S/2004 S 26,Saturn,4.0
Skathi,Saturn,4.0
S/2004 S 33,Saturn,4.0
S/2004 S 32,Saturn,4.0
S/2004 S 28,Saturn,4.0
S/2004 S 29,Saturn,4.0
Themisto,Jupiter,4.0
S/2004 S 31,Saturn,4.0
Callirrhoe,Jupiter,4.3
Erriapus,Saturn,5.0
Margaret,Uranus,5.5
S/2004 S 27,Saturn,6.0
S/2004 S 35,Saturn,6.0
Ijiraq,Saturn,6.0
Mab,Uranus,6.0
Ferdinand,Uranus,6.0
Francisco,Uranus,6.0
Deimos,Mars,6.2
Tarvos,Saturn,7.5
Kiviuq,Saturn,8.0
Adrastea,Jupiter,8.2
Ymir,Saturn,9.0
Cupid,Uranus,9.0
Trinculo,Uranus,9.0
Calypso,Saturn,9.5
Stephano,Uranus,10.0
Styx,Pluto,10.0
Leda,Jupiter,10.0
Paaliaq,Saturn,11.0
Phobos,Mars,11.1
Telesto,Saturn,12.0
Pan,Saturn,12.8
Kerberos,Pluto,14.0
Ananke,Jupiter,14.0
Perdita,Uranus,15.0
Atlas,Saturn,15.3
Albiorix,Saturn,16.0
Helene,Saturn,16.0
Hippocamp,Neptune,17.4
Lysithea,Jupiter,18.0
Sinope,Jupiter,19.0
Siarnaq,Saturn,20.0
Psamathe,Neptune,20.0
Cordelia,Uranus,20.1
Caliban,Uranus,21.0
Laomedeia,Neptune,21.0
Ophelia,Uranus,21.4
Metis,Jupiter,21.5
Sao,Neptune,22.0
Nix,Pluto,23.0
Carme,Jupiter,23.0
Setebos,Uranus,24.0
Prospero,Uranus,25.0
Bianca,Uranus,25.7
Pasiphae,Jupiter,30.0
Neso,Neptune,30.0
Hydra,Pluto,30.5
Halimede,Neptune,31.0
Desdemona,Uranus,32.0
Naiad,Neptune,33.0
Rosalind,Uranus,36.0
Cressida,Uranus,39.8
Belinda,Uranus,40.3
Pandora,Saturn,40.6
Thalassa,Neptune,41.0
Elara,Jupiter,43.0
Prometheus,Saturn,46.8
Juliet,Uranus,46.8
Thebe,Jupiter,49.3
Epimetheus,Saturn,58.3
Himalia,Jupiter,67.0
Portia,Uranus,67.6
Despina,Neptune,75.0
Sycorax,Uranus,78.5
Puck,Uranus,81.0
Amalthea,Jupiter,83.5
Galatea,Neptune,88.0
Janus,Saturn,90.4
Larissa,Neptune,97.0
Phoebe,Saturn,106.6
Hyperion,Saturn,138.6
Nereid,Neptune,178.5
Mimas,Saturn,198.2
Proteus,Neptune,210.0
Miranda,Uranus,235.8
Enceladus,Saturn,252.3
Tethys,Saturn,536.3
Dione,Saturn,562.5
Ariel,Uranus,578.9
Umbriel,Uranus,584.7
Charon,Pluto,606.0
Iapetus,Saturn,734.5
Oberon,Uranus,761.4
Rhea,Saturn,764.5
Titania,Uranus,788.9
Triton,Neptune,1353.4
Europa,Jupiter,1560.7
Moon,Earth,1737.1
Io,Jupiter,1818.1
Callisto,Jupiter,2408.4
Titan,Saturn,2575.5
Ganymede,Jupiter,2634.1
